               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.038658,           0.0055137,                   0,             0.78518,             0.77165,             0.76252,             0.31693,            0.041342,           0.0047047,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.038768,           0.0054852,                   0,             0.76298,             0.76162,             0.76051,             0.31622,            0.041391,           0.0046822,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.038817,           0.0054892,                   0,             0.82396,             0.76667,             0.79331,               0.326,            0.040725,           0.0045813,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.038251,           0.0053796,                   0,             0.85112,             0.76061,             0.79778,             0.32945,            0.040357,           0.0045452,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.037859,           0.0054129,                   0,             0.82235,             0.75746,               0.796,             0.33581,            0.040393,           0.0045946,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.036976,           0.0053708,                   0,             0.80725,             0.77879,             0.79289,             0.32825,            0.040152,           0.0045713,                   0,            0.001684,            0.001684,            0.001684
                  44,             0.03558,           0.0054378,                   0,             0.84717,             0.76869,             0.80311,             0.34292,            0.039621,           0.0045529,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.036047,           0.0051232,                   0,             0.84684,             0.79865,             0.80996,             0.34564,             0.03965,           0.0044842,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.035874,           0.0049834,                   0,             0.84415,             0.77879,             0.81289,             0.34557,            0.039565,           0.0044764,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.035279,           0.0050852,                   0,             0.85326,             0.78788,             0.81942,             0.35264,             0.03931,           0.0044897,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.034769,           0.0050917,                   0,             0.86728,              0.7798,             0.81438,             0.35457,            0.038842,            0.004483,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.034683,            0.005258,                   0,             0.84709,              0.7946,             0.81888,             0.35737,            0.038659,           0.0044663,                   0,            0.000496,            0.000496,            0.000496
                  50,            0.035222,            0.005157,                   0,             0.82927,             0.78988,             0.79623,             0.33771,            0.040501,           0.0045882,                   0,           0.0033149,           0.0033149,            0.070166
                  51,            0.036911,           0.0053345,                   0,             0.85134,             0.77071,             0.81293,             0.34255,            0.040435,           0.0045222,                   0,           0.0065166,           0.0065166,            0.040034
                  52,            0.041546,            0.005629,                   0,             0.77107,             0.68081,             0.67602,              0.2491,            0.046515,           0.0050942,                   0,           0.0095863,           0.0095863,           0.0097705
                  53,            0.046523,           0.0060102,                   0,             0.67996,             0.60909,             0.56119,             0.19225,            0.051134,           0.0057195,                   0,            0.009406,            0.009406,            0.009406
                  54,            0.047028,           0.0064465,                   0,             0.74211,              0.6511,             0.66836,             0.24887,            0.046375,           0.0050984,                   0,            0.009406,            0.009406,            0.009406
                  55,            0.045364,           0.0061421,                   0,             0.69632,             0.53734,             0.56686,             0.19786,            0.050015,           0.0064366,                   0,            0.009208,            0.009208,            0.009208
                  56,            0.045971,           0.0062985,                   0,             0.75848,             0.67251,             0.68067,             0.24609,            0.046111,           0.0052147,                   0,             0.00901,             0.00901,             0.00901
                  57,            0.046033,           0.0062498,                   0,             0.77268,             0.65253,             0.66271,             0.24914,            0.045513,            0.007377,                   0,            0.008812,            0.008812,            0.008812
                  58,            0.044269,           0.0060821,                   0,             0.77787,             0.62608,              0.6636,             0.23277,            0.047262,           0.0056765,                   0,            0.008614,            0.008614,            0.008614
                  59,            0.044403,           0.0060949,                   0,             0.76121,             0.67778,             0.68873,             0.24925,            0.045624,           0.0051849,                   0,            0.008416,            0.008416,            0.008416
                  60,             0.04412,           0.0060858,                   0,             0.74781,             0.71585,             0.70082,             0.27017,            0.045054,            0.004951,                   0,            0.008218,            0.008218,            0.008218
                  61,            0.042723,           0.0059751,                   0,             0.78595,             0.71616,             0.73859,             0.29083,            0.043342,           0.0049193,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.042394,           0.0057581,                   0,             0.84715,             0.72776,             0.76702,             0.29947,             0.04222,           0.0046529,                   0,            0.007822,            0.007822,            0.007822
                  63,            0.041753,            0.005713,                   0,             0.80304,             0.76364,             0.76348,             0.30247,            0.043092,           0.0047117,                   0,            0.007624,            0.007624,            0.007624
                  64,            0.041161,            0.005756,                   0,             0.79759,             0.73633,              0.7801,             0.30339,            0.042492,           0.0046655,                   0,            0.007426,            0.007426,            0.007426
                  65,            0.041305,           0.0057301,                   0,             0.81654,             0.74545,              0.7739,             0.30538,            0.042939,           0.0047583,                   0,            0.007228,            0.007228,            0.007228
                  66,            0.040848,           0.0055833,                   0,             0.76487,             0.70707,             0.71811,             0.27039,            0.044459,            0.005209,                   0,             0.00703,             0.00703,             0.00703
                  67,            0.040435,           0.0057785,                   0,             0.82944,             0.72828,              0.7754,             0.30535,            0.042221,           0.0047567,                   0,            0.006832,            0.006832,            0.006832
                  68,            0.040016,           0.0055587,                   0,             0.82114,             0.76263,             0.77428,             0.30853,            0.042402,           0.0046864,                   0,            0.006634,            0.006634,            0.006634
